0:0:30 - 0:0:31: I'm sorry.
0:0:31 - 0:0:32: No worries.
0:0:32 - 0:0:33: Bye.
0:6:37 - 0:6:44: There was a delay in the definition of an engineering that was the issue of the box.
0:6:44 - 0:6:49: This week, the contractor sent the first version of the engineering of the box,
0:6:49 - 0:6:53: as expected, because it was scheduled for April 5.
0:6:53 - 0:7:1: The second one was the one in Villas-Royal-Oliva, which is the one in 679 and 40.
0:7:1 - 0:7:4: There is the issue of the ANI.
0:7:4 - 0:7:10: We have already started with the ANI, which was scheduled for today's conference.
0:7:10 - 0:7:18: We also updated the date of restart with the contractors from the day of the opening.
0:7:18 - 0:7:24: They update the policies to be able to execute activities in the field.
0:7:24 - 0:7:34: Now, on the ANI part, we only need to sign their intervention, but we can start activities in the field.
0:7:34 - 0:7:42: The GABELA we had there was the issue of mobilization.
0:7:42 - 0:7:53: Later, it will be marked, because that mobilization was eaten by the ANI with its observations in the policies and all that.
0:7:53 - 0:8:4: The new station in Toluviejo, there is that delay of 1% that you present with respect to design issues.
0:8:4 - 0:8:12: They have already given us the formulation, however, if we are a little late with the issue,
0:8:12 - 0:8:23: we will have to give them answers to the formulation and that they do not have the comments, because they will have enough comments about that.
0:8:24 - 0:8:33: The station Carretto, we are going very fast in the chronogram, the aviation is very fast,
0:8:33 - 0:8:51: but if we have the issue of a definition of routes, we are reviewing the formulation to give the answer to the consultant who is taking the 148.
0:8:53 - 0:8:57: It is fine.
0:8:57 - 0:9:0: Yes, Miguel.
0:9:0 - 0:9:4: Well, we continue with the present.
0:9:4 - 0:9:6: It is free.
0:9:24 - 0:9:26: This was published when?
0:9:26 - 0:9:28: Now.
0:9:29 - 0:9:32: He has a presentation there.
0:9:32 - 0:9:34: A presentation?
0:9:34 - 0:9:36: Yes.
0:9:46 - 0:9:49: It looks like a movie.
0:9:49 - 0:9:52: They are all running.
0:9:52 - 0:9:57: The planning should be 100, the one with Panseguita, that did not come out last time.
0:9:57 - 0:10:1: It is surely a single activity or something like that.
0:10:1 - 0:10:3: Something is happening there.
0:10:3 - 0:10:5: I'm going to check.
0:10:5 - 0:10:12: Yes, exactly, Miguel, let's see it again, because it is strange that Panseguita is 5% of the part.
0:10:22 - 0:10:34: There is a way to open it.
0:10:34 - 0:10:37: Yes, I see.
0:10:37 - 0:10:41: But here is the chronogram.
0:10:41 - 0:11:4: It is a payment item, Yamire.
0:11:4 - 0:11:6: It is a payment item.
0:11:6 - 0:11:8: It is a payment item of what?
0:11:8 - 0:11:11: Of TTC and TTS.
0:11:11 - 0:11:14: The team of Patio has not paid yet.
0:11:14 - 0:11:16: Yes, they have already paid.
0:11:16 - 0:11:19: They have not paid yet.
0:11:19 - 0:11:24: But it should mark the 100% of the project's package.
0:11:24 - 0:11:29: But it only has that activity.
0:11:29 - 0:11:33: Ah, Panseguita, we only leave it with that, right?
0:11:33 - 0:11:35: Yes, sir.
0:11:35 - 0:11:38: There we are dead.
0:11:38 - 0:11:39: How?
0:11:39 - 0:11:43: There we are dead because the project is lost.
0:11:43 - 0:11:47: With only a payment item, with the TTC and TTS activity.
0:11:47 - 0:11:52: If they included it for what was inside the NBA, instead of paying, then it is worth it.
0:11:52 - 0:11:55: Panseguita, because this is different if that has a cell.
0:11:55 - 0:11:59: Panseguita expansion.
0:11:59 - 0:12:2: The cell that was asking right now.
0:12:2 - 0:12:5: We are talking about the connection.
0:12:5 - 0:12:10: We can check it now because that could have escaped us when we did the control of the NBA.
0:12:10 - 0:12:16: Although in the NBA it was only Panseguita, the TTC and TTS issue, because I imagine that the cell was not paid this year.
0:12:16 - 0:12:18: It was not in the budget.
0:12:18 - 0:12:24: But well, we are seeing the others and now we check what happened with Panseguita.
0:12:25 - 0:12:27: If it is a need, then...
0:12:27 - 0:12:29: If it is the only activity...
0:12:29 - 0:12:31: ...it is affecting the progress of the NBA.
0:12:31 - 0:12:33: Exactly, not because it was more deviant.
0:12:33 - 0:12:39: It is affecting the requirement as such.
0:12:39 - 0:12:41: Exactly.
0:12:41 - 0:12:47: Ready for the rest. Well, Gambote, the issue of...
0:12:48 - 0:12:50: ...what?
0:12:51 - 0:12:55: Of the delays that the contractist of the control system has had.
0:12:55 - 0:12:59: On Friday the 22nd we responded to that message.
0:12:59 - 0:13:1: They had already sent us.
0:13:1 - 0:13:5: We are waiting for their action plan to be sent to us.
0:13:5 - 0:13:12: They have continued to send the engineering, only that they are showing that delay because, in addition to that...
0:13:12 - 0:13:18: There you can see that the one that is in 1157 is also sent.
0:13:18 - 0:13:21: And the one that is in 2503 replaces Gambote.
0:13:21 - 0:13:39: And Gambote goes to
0:13:42 - 0:13:49: So today we are going to send a presentation to the controller committee.
0:13:49 - 0:13:51: For Wednesday, then...
0:13:51 - 0:13:59: ...request that expansion that we are needing here from the requirer area.
0:13:59 - 0:14:8: So that's why it starts to mark me that Gambote, all the investment projects in Gambote, marks me for the issue of the contractist of the control system.
0:14:8 - 0:14:16: We are going to start now, because we had already put it in the program so that it would have been started, it would have been reactivated.
0:14:16 - 0:14:22: But to reactivate it, as I say, we need all the management of the expansion and then we will be in the middle.
0:14:22 - 0:14:29: Ma'monal 10, there is already the deviation that there is.
0:14:29 - 0:14:33: That is a project that we are going to energize that circuit.
0:14:33 - 0:14:41: We put that date on the service, since as you see in 300% and we can't make a plan of action right now, or a communication.
0:14:41 - 0:14:47: What happens? That circuit we are going to energize it in an existing cell.
0:14:47 - 0:14:56: Since the cells that we have projected for the change of Ma'monal cell, that is with ABV, and those will be executed that other year.
0:14:56 - 0:15:9: So this year to be able to execute this ratio, this new circuit, we are going to use an existing cell that is there in the 138 cell train in the Barragos, which is associated with auxiliary services.
0:15:9 - 0:15:19: We, from high voltage, we already carried out the cell tests and we have already done all the configuration part and we are working in comparison with medium voltage.
0:15:19 - 0:15:28: It is a typical case because it will mark a delay for a date that I stipulate in the schedule, but it is not a punctual activity of us that is delaying it.
0:15:28 - 0:15:33: It is up to us to do there how to take into account, put an asterisk, that deviation.
0:15:33 - 0:15:39: The gumball, what I already told you, the second step of that.
0:15:39 - 0:15:50: So, well, here what happens? This ASSA contract, Advanced Automobilization, which is the one that has all the amplifications of the control system of all this.
0:15:50 - 0:15:59: ASSA, well, it handles two work fronts. Right now we are focused on Algarrogu and in Sagún.
0:15:59 - 0:16:8: In Sagún we are going to put it in service on the 16th, but I think it will be, I better say the date on the 23rd, April 23rd.
0:16:8 - 0:16:21: And Algarrogu on the 17th. So those two work fronts are there and it already starts to mark delays, those control activities that should be executed in San Pueblín and in Tamaalameque.
0:16:21 - 0:16:25: Tamaalameque is there, the one that has 6%.
0:16:25 - 0:16:32: And in what is Talaigua, there is already a topic of what? Of the engineering of the shelter.
0:16:32 - 0:16:44: Magangue is marking me delays, those of the control system, that has PTI, and they sent, I saw that they sent last week a list of signals and an engineering issue.
0:16:44 - 0:16:58: So there it is marking that delay and there it is up to the good to look at now that the 8% passes, that the probabilities that it passes, and then it is already communicated verbally in the reviews that we have done of weekly follow-up with them,
0:16:58 - 0:17:8: because when the 8% of sending passes, then it is up to the good to make a communication in compliance.
0:17:8 - 0:17:14: It is up to the good to verify if the detailed schedule with the review, if it is passing the 8%, which I think can happen, I do not remember.
0:17:14 - 0:17:21: What is Moñitos Astrea are engineering issues, are design issues of the shelters as such.
0:17:21 - 0:17:31: Well, these are the shelters of Avebella, it is in the design part of the control part, so we are there advancing in that.
0:17:31 - 0:17:35: Carmen is the same case as Magangue, problem with the mode.
0:17:35 - 0:17:39: Carmen is the same as Magangue.
0:17:39 - 0:17:45: What else is there?
0:17:45 - 0:17:53: Well, Salguero, Celda, Cortigo, the same case as Magangue and Carmen, three corners, that is a problem of Celda.
0:17:53 - 0:17:59: San Pelayo, San Felipe, all of these are delays associated with the engineering of the shelters.
0:17:59 - 0:18:6: San Monofre, Valencia de Jesús, Arjona, Mandinguilla, Toluviego, San Pelayo, all of these associated with the shelters.
0:18:6 - 0:18:14: All of these are shelters, absolutely everything, up to Boston.
0:18:14 - 0:18:22: Tamarameque, the cable, well Tamarameque, then we have the project of the shelter and the cable transfer.
0:18:22 - 0:18:30: As I was saying, we are now concentrated in Algarro and in Zabun, so there are activities that in the other projects that have the contract,
0:18:30 - 0:18:34: they are seeing there a little affected. The rest are all Celda.
0:18:34 - 0:18:40: These, well, if Monteliba, Anelorica, are projects of replacement of drivers.
0:18:40 - 0:18:50: And what has suddenly advanced a little, are for the issue that I have commented each round of follow-up with the issue of engineering.
0:18:50 - 0:18:56: They are projects that were moved to be executed in 2025, but that to date we already have a design.
0:18:56 - 0:19:1: So that makes time as if I had moved forward in the activity.
0:19:1 - 0:19:8: From the contract, well, the same, to mark the delay of certain projects.
0:19:8 - 0:19:12: I told them, I am Fabilo and I have a delay right away.
0:19:12 - 0:19:23: So there if it is the issue of the engineering of the shelters, to continue marking it and that is going to be closed this month.
0:19:23 - 0:19:31: And then the issue of what, of the shelters and the idea of ​​also moving forward in that.
0:19:31 - 0:19:42: Well, they have sent information there to close the design and the idea was not to leave that message in the air.
0:19:42 - 0:19:48: We responded point by point to what they had manifested so as not to leave that in the air.
0:19:48 - 0:19:54: And what we expect now is that we close that issue and they invite a plant to close the basic engineering.
0:19:54 - 0:20:7: And then continue with the rest of the work as I told you, we are already in the process of expanding the money and the time of that contract, the civil and mutual.
0:20:7 - 0:20:16: The idea is that the control committee of Wednesday goes, I don't know how the process will be, I would understand that the hiring committee would happen.
0:20:16 - 0:20:20: They are going to be injected, they are 600 million additional pesos.
0:20:20 - 0:20:25: That contractor is 3,800, so I hope it goes well together.
0:20:25 - 0:20:34: And already for the rest, well, for the civil works of all these projects that are 20, 23 according to the P.I.
0:20:34 - 0:20:41: We are projecting to debut this year, we are still in market studies, we really just received one before Holy Week.
0:20:41 - 0:20:46: The idea is that this week they invite all those market studies and start that process.
0:20:46 - 0:20:52: Well, I do think that it is time to go together because that one does exceed 5,000.
0:20:52 - 0:20:57: So that's what we have to do for my part.
0:20:57 - 0:20:59: Thank you very much.
0:20:59 - 0:21:1: Thank you.
0:21:29 - 0:21:32: The situation is that
0:21:35 - 0:21:39: Well, it's going to be a start.
0:21:44 - 0:21:50: There are already quite a few recreations above 8%,
0:21:50 - 0:21:57: and the one that is higher would be the two mobile phones of 34, 5.
0:21:57 - 0:22:3: Currently they are in factory tests, they are doing the FAT tests.
0:22:3 - 0:22:9: Last week, well, they were doing all the tests that they do.
0:22:9 - 0:22:18: And next week, the idea is that we come to do the tests with us, the factory.
0:22:18 - 0:22:22: And the office would be scheduled for the week of the 22nd.
0:22:23 - 0:22:28: That is, the next week the FAT test with us and they would be, well, the week of the 15th, they would be
0:22:28 - 0:22:35: disassembling it as a medium and they would be reaching the substations for the week of the 22nd.
0:22:35 - 0:22:40: And later they can do the test of the site.
0:22:40 - 0:22:49: The 2 of 13, 8, the ones that have 13%, their team is already in place, they are in the substations.
0:22:49 - 0:22:58: Where it was said that they would have to go, there are some that are in San Brano and the others are in Monteria.
0:22:58 - 0:23:5: And we are already preparing everything to do the factory tests, the tests on site.
0:23:5 - 0:23:11: There has already been an advance, we are waiting for information there,
0:23:11 - 0:23:18: that web was requested for the issue of personal income, for the permits and all that.
0:23:18 - 0:23:24: And since then, we can start the project there next week.
0:23:24 - 0:23:30: And the one that presents the greatest deviation, well, the deviation project, the one in Montpola,
0:23:30 - 0:23:38: 13.3%, well, we know that it is a contract that is suspended and that we had included in this chronogram,
0:23:38 - 0:23:44: a large amount that was going to be assembled for a desk that was going to be carried out in a civil case.
0:23:44 - 0:23:49: Well, that is actually in the stand-by.
0:23:49 - 0:23:57: What Alberto told us was that they were going to have to join us to review the issue.
0:23:57 - 0:24:2: And also depending on how we are going to go in the control committee with the one of Gambote,
0:24:2 - 0:24:8: we are going to have to ask for a bigger one, with 100 million.
0:24:8 - 0:24:18: So, the one that we first established in Gambote and then we got into doing the issue in the post.
0:24:18 - 0:24:23: Let's see if we always do it by amplification or if we look for production.
0:24:24 - 0:24:30: This week, I think that is already defined and we will see how we do it in the post, in amplification,
0:24:30 - 0:24:34: with what we have to finish.
0:24:34 - 0:24:42: Basically, the cases are practically in the furniture, because the cases were presented in the previous manufacturing.
0:24:42 - 0:24:47: Right now they are in the testing stage,
0:24:47 - 0:24:53: waiting for the 24-5, which are the ones that have the highest deviation rate,
0:24:53 - 0:24:58: to arrive in the week of the 22nd at their station.
0:24:58 - 0:25:3: But already the D138, it can be said that they are ready and available.
0:25:3 - 0:25:5: They are also in cycle.
0:25:5 - 0:25:7: They are in cycle.
0:25:7 - 0:25:11: We are going to go to San Bruno, we would like to see the D138.
0:25:11 - 0:25:14: The one that was made in January.
0:25:18 - 0:25:23: And the advancements correspond to the subject of the measures,
0:25:23 - 0:25:28: corresponding to the technical specifications and solutions that we already have.
0:25:28 - 0:25:35: I imagine that later in the transverse, it will be commented on how the process of the measures is going.
0:25:40 - 0:25:46: That would be basically the summary of the specific project.
0:25:47 - 0:25:52: Jesus, a question.
0:25:52 - 0:25:58: The advance that the chronogram has at the moment is with a cut to what? 22?
0:25:58 - 0:26:1: I made an update right now.
0:26:1 - 0:26:4: I put it with a cut yesterday, 31.
0:26:4 - 0:26:6: Ah, well, perfect.
0:26:6 - 0:26:8: Thank you.
0:26:18 - 0:26:21: No, it's a little bit.
0:26:21 - 0:26:27: Jesus, if you want, we can look at it, transverse it, or we leave it for the last.
0:26:27 - 0:26:30: We leave it for the last.
0:26:30 - 0:26:33: Sebas is connected, right?
0:26:34 - 0:26:37: The host Jose, for sure.
0:26:37 - 0:26:39: Jose is there.
0:26:39 - 0:26:41: Yes, because he is there.
0:26:41 - 0:26:44: He was like sore from something.
0:26:44 - 0:26:50: I don't have anything, but I don't know anything.
0:26:54 - 0:26:57: But did you make any updates?
0:26:57 - 0:26:59: No, nothing.
0:26:59 - 0:27:2: I thought we should look at it.
0:27:2 - 0:27:5: I don't even know the structure we are driving.
0:27:5 - 0:27:9: I would touch it, sit down and interpret it, because it's a fucking machine.
0:27:9 - 0:27:11: Yes, yes.
0:27:12 - 0:27:14: He is over there.
0:27:14 - 0:27:17: He has been like, what, two weeks?
0:27:17 - 0:27:19: One or two.
0:27:19 - 0:27:21: We look at it.
0:27:21 - 0:27:23: We are going to be there.
0:27:23 - 0:27:25: We are going to look.
0:27:25 - 0:27:29: We come every day, because we don't have any delay.
0:27:29 - 0:27:33: I have the chronogram and I update it for the production.
0:27:33 - 0:27:36: I update it on Friday before Tuesday.
0:27:36 - 0:27:38: Ah, you update it on Friday?
0:27:38 - 0:27:40: Yes, on Friday.
0:27:41 - 0:27:47: I have a date of the 22nd.
0:27:47 - 0:27:49: It has to be the 31st.
0:27:49 - 0:27:52: You have to update it to get the indicator.
0:27:52 - 0:27:54: I update it.
0:27:54 - 0:27:57: I look at the main marina, the rest is underpass.
0:27:57 - 0:27:59: I can know more or less where it is going.
0:27:59 - 0:28:1: The road is also countryside.
0:28:1 - 0:28:3: I don't know if it's salvation, but I ask.
0:28:3 - 0:28:6: But the old man says, what is it going to do?
0:28:6 - 0:28:8: I don't know anything.
0:28:8 - 0:28:12: Those who have planned progress are the same.
0:28:22 - 0:28:25: We are going to see with Sebas.
0:28:30 - 0:28:32: I made the update right now.
0:28:32 - 0:28:34: I was not letting myself update.
0:28:34 - 0:28:38: I don't know if it will appear there.
0:28:38 - 0:28:40: If it is the chronogram update.
0:28:58 - 0:29:0: Ready.
0:29:0 - 0:29:3: The project is progressing.
0:29:3 - 0:29:6: We asked for the consignations.
0:29:6 - 0:29:10: They were approved for the 21st of April.
0:29:10 - 0:29:12: For that week.
0:29:12 - 0:29:14: The week of the 22nd to the 26th.
0:29:14 - 0:29:19: We had the meeting with the energy group in Bogotá.
0:29:19 - 0:29:24: We agreed on the work that has to be done for that date.
0:29:24 - 0:29:30: But the consignation for that date was left.
0:29:34 - 0:29:36: The Sagún project.
0:29:36 - 0:29:38: We already did tests.
0:29:38 - 0:29:40: We started doing tests before Easter.
0:29:40 - 0:29:44: We had some problems with the communication channel and the ladder.
0:29:44 - 0:29:48: There was a problem with the ladder that did not allow us to do tests.
0:29:48 - 0:29:52: But it was already fixed and the tests were already advanced.
0:29:52 - 0:29:56: The idea is to finish the last thing that is missing.
0:29:56 - 0:29:58: Without more our and Dani.
0:29:58 - 0:30:0: If this is the consignation.
0:30:0 - 0:30:4: But the idea is that there are very few signs left.
0:30:4 - 0:30:6: And there it advanced.
0:30:6 - 0:30:8: Dani, what a pity.
0:30:8 - 0:30:12: When was the consignation for the service?
0:30:12 - 0:30:14: I was talking to Jaime.
0:30:14 - 0:30:16: He told me that for the 23rd.
0:30:16 - 0:30:18: Ok.
0:30:18 - 0:30:22: We are waiting for that date for the service of the project.
0:30:26 - 0:30:28: The renovation projects.
0:30:28 - 0:30:34: We are in the stage of the whole issue of contract.
0:30:34 - 0:30:36: The issue of Mahangue.
0:30:36 - 0:30:38: I need it to be there.
0:30:38 - 0:30:44: Mahangue is already in construction of the boards.
0:30:44 - 0:30:52: In the assembly of the teams and the boards of the bar differential.
0:30:52 - 0:30:56: We are going there every day.
0:30:56 - 0:30:58: The renovation project.
0:30:58 - 0:31:6: Last week the presentation was sent to the board of directors.
0:31:6 - 0:31:8: This week there is a board of directors.
0:31:8 - 0:31:10: This week there is a board of directors.
0:31:10 - 0:31:18: And with that, we are waiting for approval to send the software.
0:31:18 - 0:31:20: And send it to buy.
0:31:20 - 0:31:22: So that it can be a buyer.
0:31:22 - 0:31:24: This week there is a board of directors.
0:31:24 - 0:31:26: We did all the documentation and presentation.
0:31:26 - 0:31:28: And we are waiting for approval this week.
0:31:28 - 0:31:30: We also have a new sub station.
0:31:30 - 0:31:32: It is the new Watapuri sub station.
0:31:32 - 0:31:34: We also have a new sub station.
0:31:34 - 0:31:36: It is the new Watapuri sub station.
0:31:36 - 0:31:38: It is the new Watapuri sub station.
0:31:38 - 0:31:40: It is the new Watapuri sub station.
0:31:40 - 0:31:42: It is the new Watapuri sub station.
0:31:42 - 0:31:44: It is already sent to buy.
0:31:44 - 0:31:48: So that it can be a buyer.
0:31:48 - 0:31:54: This week we are in the whole issue of documentation.
